Row,Subheader,T (K),Cp° (J/mol K),S° (J/mol K),-(G°-H°(T)) (J/mol K),(H-H°(T)) (kJ/mo),∆Hf° (kJ/mol),∆Gf° (kJ/mol),Log Kf
156,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),298.15,44.036,200.927,200.927,0,227.4,209.879,-36.769
157,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),300,44.174,201.199,200.927,0.082,227.397,209.77,-36.524
158,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),400,50.388,214.814,202.741,4.829,227.161,203.928,-26.63
159,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),500,54.751,226.552,206.357,10.097,226.846,198.154,-20.701
160,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),600,58.121,236.842,210.598,15.747,226.445,192.452,-16.754
161,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),700,60.97,246.021,215.014,21.704,225.968,186.823,-13.941
162,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),800,63.511,254.331,219.418,27.931,225.436,181.267,-11.835
163,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),900,65.831,261.947,223.726,34.399,224.873,175.779,-10.202
164,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1000,67.96,268.995,227.905,41.09,224.3,170.355,-8.898
165,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1100,69.909,275.565,231.942,47.985,223.734,164.988,-7.835
166,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1200,71.686,281.725,235.837,55.067,223.189,159.672,-6.95
167,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1300,73.299,287.528,239.592,62.317,222.676,154.4,-6.204
168,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1400,74.758,293.014,243.214,69.721,222.203,149.166,-5.565
169,12. ACETYLENE C<sub>2</sub>H<sub>2</sub> (g),1500,76.077,298.218,246.709,77.264,221.774,143.964,-5.013
170,13. ETHYLENE C<sub>2</sub>H<sub>4</sub> (g),298.15,42.883,219.316,219.316,0,52.4,68.358,-11.976
171,13. ETHYLENE C<sub>2</sub>H<sub>4</sub> (g),300,43.059,219.582,219.317,0.079,52.341,68.457,-11.919
172,13. ETHYLENE C<sub>2</sub>H<sub>4</sub> (g),400,53.045,233.327,221.124,4.881,49.254,74.302,-9.703
